                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.57429,                0.63429,                0.57325,                0.87171,                0.96938,                0.98341,                0.98545,                0.86511,                0.96938,                0.98341,                0.98545,                0.85121,                0.51145,                0.69155,                0.57404,                0.84187,              0.0012709,              0.0012709,              0.0012709
                     26,                 0.5658,                0.64042,                0.57032,                0.86843,                0.96996,                0.98298,                0.98677,                0.87263,                0.96996,                0.98298,                0.98677,                0.86659,                0.49945,                 0.6681,                0.57073,                0.83565,              0.0012544,              0.0012544,              0.0012544
                     27,                0.59548,                0.65712,                0.60172,                0.86581,                0.96896,                 0.9832,                0.98629,                0.87717,                0.96896,                 0.9832,                0.98629,                0.86898,                0.48487,                 0.6239,                0.59146,                0.83822,              0.0012379,              0.0012379,              0.0012379
                     28,                0.56117,                0.64675,                0.57377,                0.86533,                0.98404,                0.99107,                0.98751,                0.88192,                0.98404,                0.99107,                0.98751,                0.87305,                0.48684,                0.63004,                0.55962,                0.82733,              0.0012214,              0.0012214,              0.0012214
                     29,                0.55952,                0.65088,                0.57467,                0.86384,                0.98649,                0.99107,                0.98608,                0.88691,                0.98649,                0.99107,                0.98608,                0.88209,                0.48782,                0.64134,                0.49765,                0.83212,              0.0012049,              0.0012049,              0.0012049
                     30,                0.52088,                0.60754,                0.54025,                0.84476,                 0.9868,                0.99107,                0.98547,                0.89639,                 0.9868,                0.99107,                0.98547,                0.87371,                0.46019,                0.67716,                0.48588,                  0.825,              0.0011884,              0.0011884,              0.0011884
                     31,                0.54115,                0.59978,                0.53451,                0.85362,                0.98625,                 0.9906,                0.98587,                0.87873,                0.98625,                 0.9906,                0.98587,                0.85942,                0.46682,                 0.7108,                0.49045,                0.82651,              0.0011719,              0.0011719,              0.0011719
                     32,                 0.5237,                0.64948,                0.52879,                0.86111,                0.98878,                0.99107,                 0.9822,                0.88628,                0.98878,                0.99107,                 0.9822,                0.85932,                0.46826,                0.69466,                0.49285,                0.82507,              0.0011554,              0.0011554,              0.0011554
                     33,                0.49476,                0.60029,                0.53772,                 0.8455,                0.98754,                0.99107,                0.98077,                0.87429,                0.98754,                0.99107,                0.98077,                0.85902,                0.47119,                0.68871,                0.49259,                0.82698,              0.0011389,              0.0011389,              0.0011389
                     34,                0.54472,                0.65018,                0.54139,                0.87202,                0.98651,                0.99107,                0.98118,                0.87642,                0.98651,                0.99107,                0.98118,                0.86372,                  0.468,                0.69488,                0.49208,                0.82651,              0.0011224,              0.0011224,              0.0011224
                     35,                0.50557,                0.58507,                0.51592,                0.85026,                0.98666,                0.99107,                0.98106,                0.88532,                0.98666,                0.99107,                0.98106,                0.86345,                0.46464,                0.66354,                0.46771,                0.82506,              0.0011059,              0.0011059,              0.0011059
